CNPJ,Valor_corrigido,Anomalia,k
03071465000121,319.8,0,10
03071465000121,656.51,0,10
03071465000121,285.91,0,10
03071465000121,418.86,0,10
03071465000121,1658.78,0,10
03071465000121,139.32,0,10
03071465000121,182.78,0,10
03071465000121,189.62,0,10
03071465000121,420.09,0,10
03071465000121,193.38,0,10
03071465000121,546.79,0,10
03071465000121,1177.8,0,10
03071465000121,389.91,0,10
03071465000121,1218.75,0,10
03071465000121,805.57,0,10
03071465000121,1167.87,0,10
03071465000121,739.27,0,10
03071465000121,273.56,0,10
03071465000121,252.42,0,10
03071465000121,205.71,0,10
03071465000121,135.17,1,10
03071465000121,177.08,0,10
03071465000121,191.81,0,10
03071465000121,464.39,1,10
03071465000121,1278.6,0,10
03071465000121,521.47,0,10
03300974004923,190.66,0,10
03300974004923,28.73,0,10
03300974004923,89.6,0,10
03300974004923,75.91,0,10
03300974004923,40.89,0,10
03300974004923,44.58,0,10
03300974004923,77.19,0,10
03300974004923,31.41,0,10
03300974004923,17.0,0,10
03300974004923,150.61,0,10
03300974004923,137.62,0,10
03300974004923,114.67,0,10
03300974004923,17.0,0,10
03300974004923,117.54,0,10
03300974004923,31.79,0,10
03300974004923,103.72,0,10
03300974004923,61.04,0,10
03300974004923,103.07,0,10
03300974004923,192.56,0,10
03300974004923,26.1,0,10
03300974004923,93.77,0,10
03300974004923,39.3,0,10
03300974004923,77.45,0,10
03300974004923,101.75,0,10
03300974004923,35.23,0,10
03300974004923,81.33,0,10
03300974004923,75.21,0,10
03300974004923,298.95,0,10
03300974004923,52.21,0,10
03300974004923,46.1,0,10
03300974004923,197.33,0,10
03300974004923,43.41,0,10
03300974004923,91.61,0,10
03300974004923,119.94,0,10
03300974004923,113.79,0,10
03300974004923,162.8,0,10
03300974004923,38.53,0,10
03300974004923,205.67,1,10
04287927000105,756.71,0,7
04287927000105,624.56,0,7
04287927000105,869.05,0,7
04287927000105,46.07,0,7
04287927000105,953.49,0,7
04287927000105,72.91,0,7
04287927000105,299.43,0,7
04287927000105,72.89,0,7
04287927000105,844.94,0,7
04287927000105,534.54,0,7
04287927000105,866.01,0,7
04287927000105,764.04,0,7
04287927000105,383.77,1,7
04287927000105,837.72,0,7
04287927000105,634.22,0,7
04287927000105,121.07,0,7
04287927000105,71.98,0,7
04287927000105,339.83,0,7
04287927000105,496.64,0,7
04287927000105,554.24,0,7
04287927000105,330.86,0,7
04287927000105,302.88,0,7
04287927000105,597.83,0,7
04287927000105,59.71,0,7
04287927000105,594.92,0,7
04287927000105,704.33,0,7
04287927000105,854.58,0,7
04287927000105,347.4,0,7
04287927000105,257.21,1,7
05137602000109,152.73,0,9
05137602000109,48.58,0,9
05137602000109,68.88,0,9
05137602000109,63.38,0,9
05137602000109,76.45,0,9
05137602000109,22.12,0,9
05137602000109,44.01,0,9
05137602000109,72.64,0,9
05137602000109,30.93,0,9
05137602000109,84.93,0,9
05137602000109,124.08,1,9
05137602000109,57.52,1,9
05137602000109,116.24,0,9
05137602000109,75.54,0,9
05137602000109,66.93,0,9
05137602000109,50.9,0,9
05137602000109,130.88,0,9
05137602000109,86.14,0,9
05137602000109,131.41,0,9
05137602000109,113.26,0,9
05137602000109,102.11,0,9
05137602000109,101.19,0,9
05137602000109,61.39,0,9
05137602000109,27.32,0,9
05137602000109,49.97,0,9
05137602000109,98.45,0,9
05137602000109,54.46,0,9
05137602000109,133.39,0,9
05137602000109,64.46,0,9
05137602000109,76.44,0,9
05137602000109,78.03,0,9
05137602000109,62.38,0,9
05137602000109,64.06,0,9
05324131000148,343.17,0,2
05324131000148,180.46,0,2
05324131000148,1189.96,0,2
05324131000148,165.71,0,2
05324131000148,506.91,1,2
05324131000148,171.46,0,2
05324131000148,423.52,0,2
05324131000148,159.87,0,2
05324131000148,424.69,0,2
05324131000148,403.77,0,2
05324131000148,128.68,0,2
05324131000148,186.49,0,2
05324131000148,252.12,0,2
05324131000148,58.26,0,2
05324131000148,307.66,0,2
05324131000148,556.45,1,2
05324131000148,80.08,0,2
05324131000148,209.43,0,2
05324131000148,212.34,0,2
05324131000148,101.94,0,2
05324131000148,444.5,1,2
05324131000148,212.92,0,2
05324131000148,226.4,0,2
05324131000148,263.96,0,2
05324131000148,252.63,0,2
05324131000148,332.76,0,2
05324131000148,201.07,0,2
05324131000148,224.09,0,2
05324131000148,178.58,0,2
05324131000148,407.99,0,2
05324131000148,166.7,0,2
05324131000148,133.87,0,2
05324131000148,152.48,0,2
05324131000148,167.67,0,2
05324131000148,166.23,0,2
05324131000148,171.69,0,2
05324131000148,374.37,0,2
05324131000148,73.47,0,2
