Data,CNPJ,Valor,Valor_corrigido
2013-02-01,02012862000160,1293.04,2290.21
2013-02-01,59965038000141,1170.15,2072.55
2013-02-01,,205.0,363.09
2013-02-01,01937526001803,20.8,36.84
2013-02-01,02184039000131,58.0,102.73
2013-02-01,08300383000125,90.0,159.41
2013-02-01,10993977000100,112.0,198.37
2013-02-01,42591651091513,17.0,30.11
2013-02-01,60326717000150,45.1,79.88
2013-02-01,60907029000183,45.8,81.12
2013-02-01,60909215000666,59.6,105.56
2013-02-01,61282612000109,44.0,77.93
2013-02-01,72908353000871,49.6,87.85
2013-02-01,72908353002068,24.8,43.93
2013-02-01,07807726000180,132.5,234.68
2013-02-01,09456714000183,133.5,236.45
2013-02-01,43398932000147,12.0,21.25
2013-02-01,59290270000127,41.74,73.93
2013-02-01,60951274000198,48.5,85.9
2013-02-01,72724826000104,28.8,51.01
2013-02-01,02105990000158,270.0,478.22
2013-02-01,09296295000160,1029.94,1824.21
2013-02-01,46381521005953,13.0,23.03
2013-02-01,14335331000197,2362.16,4183.81
2013-02-01,02530487000220,30.5,54.02
2013-02-01,14432692000151,192.57,341.08
2013-02-01,14499312000104,55.3,97.95
2013-02-01,14843295000172,325.6,576.7
2013-02-01,55238836000110,643.95,1140.55
2013-02-01,72717580000143,214.83,380.5
2013-02-01,09457717000131,28.8,51.01
2013-02-01,43725985000125,61.0,108.04
2013-02-01,47786645000165,65.0,115.13
2013-02-01,02530487000220,16.2,28.69
2013-02-01,03307177000123,85.0,150.55
2013-02-01,04308241000153,67.98,120.4
2013-02-01,06140483000106,120.0,212.54
2013-02-01,07499995000207,18.02,31.92
2013-02-01,07977172000169,80.0,141.69
2013-02-01,08587191000141,42.0,74.39
2013-02-01,10015901000100,47.9,84.84
2013-02-01,10310798000121,200.0,354.24
2013-02-01,10432515000114,60.16,106.55
2013-02-01,11121445000146,120.0,212.54
2013-02-01,11601480000162,58.9,104.32
2013-02-01,11649494000156,70.0,123.98
2013-02-01,15274776000177,23.38,41.41
2013-02-01,43599000000162,48.0,85.02
2013-02-01,50462340000102,32.0,56.68
2013-02-01,53663043000113,39.4,69.78
2013-02-01,54100136000100,255.0,451.65
2013-02-01,58303462000168,30.0,53.14
2013-02-01,00256108000140,36.5,64.65
2013-02-01,00636374000106,15.96,28.27
2013-02-01,04020028000141,824.5,1460.34
2013-02-01,07682780000146,7.0,12.4
2013-02-01,08840516000156,129.99,230.24
2013-02-01,09358528000101,110.0,194.83
2013-02-01,09377324000118,43.11,76.36
2013-02-01,09456704000148,17.6,31.17
2013-02-01,09491640000116,37.69,66.76
2013-02-01,10684043000197,105.82,187.43
2013-02-01,14853384000108,126.0,223.17
2013-02-01,56007859000187,64.41,114.08
2013-02-01,66966490000193,45.5,80.59
2013-02-01,,129.0,228.48
2013-02-01,02530487000220,14.7,26.04
2013-02-01,07499995000207,28.5,50.48
2013-02-01,08651455000189,74.5,131.95
2013-02-01,11581284000173,110.0,194.83
2013-02-01,73152423000109,38.5,68.19
2013-02-01,,20.0,35.42
2013-02-01,09101283000132,120.8,213.96
2013-02-01,06109150000114,179.66,318.21
2013-02-01,50024470000163,448.8,794.91
2013-02-01,61084018000103,68.43,121.2
2013-02-01,,176.0,311.73
2013-02-01,02530487000220,18.0,31.88
2013-02-01,06164253000187,2377.43,4210.86
2013-02-01,64765084000137,139.48,247.04
2013-02-01,05010299000189,4.99,8.84
2013-02-01,,31.0,54.91
2013-02-01,02012862000160,223.87,396.51
2013-02-01,02012862002103,1074.7,1903.49
2013-02-01,02287828000106,81.0,143.47
2013-02-01,07499995000207,151.41,268.17
2013-02-01,08402977000147,26.08,46.19
2013-02-01,13232868000169,157.3,278.61
2013-02-01,47535687000123,150.3,266.21
2013-02-01,60557162000157,29.66,52.53
2013-02-01,67966101000192,6.7,11.87
2013-02-01,,28.0,49.59
2013-02-01,02012862000160,1165.61,2064.51
2013-02-01,02530487000220,54.4,96.35
2013-02-01,09453133000198,14.68,26.0
2013-02-01,10774460000120,111.43,197.36
2013-02-01,11384785000160,11.1,19.66
2013-02-01,13468513000173,19.4,34.36
2013-02-01,14178869000135,15.9,28.16
2013-02-01,43386903000165,73.15,129.56
2013-02-01,50334929000125,19.0,33.65
2013-02-01,54867247000139,36.89,65.34
2013-02-01,55158190000323,29.3,51.9
2013-02-01,73152423000109,164.89,292.05
2013-02-01,74583691000130,16.7,29.58
2013-02-01,02149349000115,50.06,88.67
2013-02-01,09438123000183,33.3,58.98
2013-02-01,60557162000157,81.0,143.47
2013-02-01,72908353001924,75.45,133.64
2013-02-01,66728858000185,99.5,176.23
2013-02-01,60765468000107,79.1,140.1
2013-02-01,61084018000103,78.9,139.75
2013-02-01,61519559000117,58.0,102.73
2013-02-01,61586160000310,19.35,34.27
2013-02-01,62201405000145,245.88,435.5
2013-02-01,66728858000185,39.0,69.08
2013-02-01,,128.0,226.71
2013-02-01,09456550000194,49.82,88.24
2013-02-01,09456704000148,65.99,116.88
2013-02-01,59597849000137,143.2,253.63
2013-02-01,60996436000104,22.8,40.38
2013-02-01,05322351000132,199.91,354.08
2013-02-01,07884254000169,24.8,43.93
2013-02-01,09456550000194,70.29,124.5
2013-02-01,13688921000130,20.1,35.6
2013-02-01,14419110000105,312.0,552.61
2013-02-01,49561228000140,21.8,38.61
2013-02-01,51647584000122,167.2,296.14
2013-02-01,60682648000117,33.9,60.04
2013-02-01,72908353001924,72.97,129.24
2013-02-01,74290891000102,33.59,59.49
2013-02-01,74294935000164,20.7,36.66
2013-02-01,44993632000179,301.08,533.27
2013-02-01,45007937000127,214.54,379.99
2013-02-01,,262.1,464.23
2013-02-01,01111215000142,13.0,23.03
2013-02-01,46582300000127,80.0,141.69
2013-02-01,47772058000117,15.5,27.45
2013-02-01,52378825000148,27.9,49.42
2013-02-01,73129421000190,71.0,125.75
2013-02-01,00472525000120,30.0,53.14
2013-02-01,02939555000129,23.66,41.91
2013-02-01,04229706000342,742.36,1314.85
2013-02-01,05108448000147,265.5,470.25
