"Data","CNPJ","Valor_corrigido"
"2018-03-01","11021731000130",32.36
"2018-03-01","11384785000160",53.09
"2018-03-01","54867247000139",49.97
"2018-03-01","73152423000109",379.58
"2018-03-01","71806517000110",119.0
"2018-03-01","05324131000148",1189.96
"2018-03-01","05354900000150",90.23
"2018-03-01","10379449000166",515.21
"2018-03-01","21472858000129",268.17
"2018-03-01","23835482000103",63.34
"2018-03-01","24578281000122",61.46
"2018-03-01","43599000000162",484.74
"2018-03-01","45007937000127",445.06
"2018-03-01","60765468000107",112.07
"2018-03-01","61359691000109",42.11
"2018-03-01","61980272001323",56.32
"2018-03-01","62201405000145",206.44
"2018-03-01","66728858000185",116.38
"2018-03-01","68365469000168",137.3
"2018-03-01","71879811000152",262.18
"2018-03-01","44581056000152",774.22
"2018-03-01","",379.47
"2018-03-01","01809535000170",75.84
"2018-03-01","07313514000146",93.35
"2018-03-01","03300974004923",103.72
"2018-03-01","04919534000177",60.41
"2018-03-01","09060964010839",59.31
"2018-03-01","09447557000140",86.96
"2018-03-01","09456550000194",131.55
"2018-03-01","09456714000183",37.16
"2018-03-01","22683792000189",80.71
"2018-03-01","59597849000137",406.02
"2018-03-01","22182081000120",53.17
"2018-03-01","23449352000124",632.9
"2018-03-01","01862272000163",110.47
"2018-03-01","02812278000199",170.31
"2018-03-01","03959758000140",235.98
"2018-03-01","04202752000196",60.15
"2018-03-01","04436013000169",63.84
"2018-03-01","08062252000157",116.51
"2018-03-01","09456550000194",75.96
"2018-03-01","09657803000198",17.64
"2018-03-01","11757610000150",20.92
"2018-03-01","12916408001240",58.58
"2018-03-01","12941292000146",59.76
"2018-03-01","17261661002621",88.83
"2018-03-01","23699452000109",67.36
"2018-03-01","27428661000179",25.37
"2018-03-01","42591651017542",42.37
"2018-03-01","43307545000158",52.31
"2018-03-01","43599000000162",157.94
"2018-03-01","47882485000158",293.7
"2018-03-01","53948238000290",58.22
"2018-03-01","56971716000190",261.53
"2018-03-01","57116683000164",94.54
"2018-03-01","61353470000123",20.27
